Date,IDU,IJH,IJJ,IJK,IJR,IJS,IJT,IUSG,IUSV,IVE,IVV,IVW,IWB,IWD,IWF,IWM,IWN,IWO,IWV,IYC,IYE,IYF,IYG,IYH,IYJ,IYK,IYM,IYW,IYY,IYZ
2016-09-23,50.48350524902344,27.18525505065918,56.316219329833984,40.489871978759766,54.758453369140625,54.45965576171875,63.80078125,38.78374481201172,37.99594497680664,78.41722106933594,187.51026916503906,27.869409561157227,105.25717163085938,87.2231674194336,96.8042984008789,111.56283569335938,88.92982482910156,141.1652069091797,112.5927505493164,34.387237548828125,27.32648277282715,39.1632080078125,25.537675857543945,27.36305809020996,51.26295852661133,31.459070205688477,67.09282684326172,28.01564598083496,47.60367202758789,26.26095199584961
2016-09-26,50.37832260131836,27.047805786132812,56.08698272705078,40.26018524169922,54.13529586791992,53.89235305786133,63.00225830078125,38.43181228637695,37.65274429321289,77.7175521850586,185.95924377441406,27.65167999267578,104.39337921142578,86.48636627197266,96.0989761352539,110.4549789428711,87.99718475341797,139.7489776611328,111.64836120605469,33.99445343017578,27.21123695373535,38.739593505859375,25.074954986572266,27.02275276184082,51.04380798339844,31.186317443847656,66.79962921142578,27.822860717773438,47.152496337890625,26.09849739074707
2016-09-27,49.7672004699707,27.067161560058594,56.095542907714844,40.33389663696289,54.21445846557617,53.9185791015625,63.11295700073242,38.70463943481445,37.7271728515625,78.09059143066406,187.08995056152344,27.85773277282715,105.01475524902344,86.76811981201172,96.79501342773438,110.90311431884766,88.15873718261719,140.69125366210938,112.31664276123047,34.303977966308594,27.05708885192871,38.869285583496094,25.274629592895508,27.236223220825195,51.406044006347656,31.332475662231445,67.09283447265625,28.147724151611328,47.44243240356445,26.19548797607422
2016-09-28,49.67593002319336,27.304763793945312,56.80414962768555,40.48365020751953,54.702598571777344,54.565940856933594,63.541988372802734,38.822853088378906,38.1241340637207,78.73722076416016,188.07391357421875,27.924121856689453,105.5924072265625,87.61354064941406,96.90637969970703,111.75464630126953,89.10238647460938,141.25657653808594,112.91458892822266,34.38370895385742,28.26827049255371,39.098365783691406,25.41642189025879,27.194969177246094,51.75014877319336,31.4041805267334,68.07594299316406,28.247329711914062,47.72799301147461,26.405630111694336
2016-09-29,48.969566345214844,27.01436424255371,56.27482223510742,39.94689178466797,54.025360107421875,53.98420333862305,62.67012405395508,38.45909118652344,37.74371337890625,78.0076904296875,186.38221740722656,27.669998168945312,104.62091827392578,86.77642822265625,96.08041381835938,110.12332153320312,88.05669403076172,138.91043090820312,111.86819458007812,34.17969512939453,28.26827049255371,38.57533645629883,25.046024322509766,26.692655563354492,51.38340759277344,31.13666534423828,67.55850982666016,28.074220657348633,47.328208923339844,26.20356559753418
2016-09-30,48.640193939208984,27.229082107543945,56.77427291870117,40.25326919555664,54.5970573425293,54.59217071533203,63.25597381591797,38.69552230834961,38.1241340637207,78.72064971923828,187.78042602539062,27.8531551361084,105.42610931396484,87.53894805908203,96.67437744140625,111.33336639404297,89.05137634277344,140.2955322265625,112.72112274169922,34.49626541137695,28.62795639038086,38.90385818481445,25.39616584777832,26.94739532470703,51.77732849121094,31.412464141845703,68.11043548583984,28.218870162963867,47.67966842651367,26.041915893554688
2016-10-03,47.969547271728516,27.03020477294922,56.36446762084961,39.974525451660156,54.456329345703125,54.42597198486328,63.145259857177734,38.57731246948242,37.967010498046875,78.47193145751953,187.20216369628906,27.777606964111328,105.06727600097656,87.19913482666016,96.44235229492188,110.98380279541016,88.64330291748047,139.9845733642578,112.33422088623047,34.46342849731445,28.58391571044922,38.657466888427734,25.329612731933594,26.924074172973633,51.69582748413086,31.29939842224121,67.97245788574219,28.126388549804688,47.49077224731445,26.0257511138916
2016-10-04,46.941734313964844,26.90524673461914,56.07419204711914,39.813255310058594,54.236454010009766,54.07605743408203,62.928443908691406,38.46818923950195,37.751983642578125,78.04085540771484,186.38221740722656,27.663131713867188,104.57715606689453,86.77642822265625,96.08041381835938,110.43704986572266,88.18424987792969,139.39100646972656,111.82422637939453,34.35089111328125,28.319660186767578,38.63152313232422,25.44536781311035,26.87743377685547,51.261146545410156,31.05669403076172,66.95484161376953,28.09792709350586,47.244747161865234,25.823686599731445
2016-10-05,46.81076431274414,27.03372573852539,56.47971725463867,39.91462326049805,54.54427719116211,54.430355072021484,63.20984649658203,38.54094314575195,38.033164978027344,78.57139587402344,187.20216369628906,27.706626892089844,105.04100036621094,87.39802551269531,96.21961975097656,111.10033416748047,88.88134002685547,140.09765625,112.378173828125,34.44232940673828,28.730722427368164,38.869285583496094,25.87364959716797,26.988658905029297,51.57358932495117,31.089792251586914,67.5843734741211,28.211755752563477,47.48198318481445,25.670122146606445
2016-10-06,46.80681610107422,27.084762573242188,56.586429595947266,40.002166748046875,54.487117767333984,54.39537048339844,63.24675369262695,38.55002975463867,38.016624450683594,78.6460189819336,187.38336181640625,27.74783706665039,105.09351348876953,87.3731689453125,96.30314636230469,110.98380279541016,88.74534606933594,139.96575927734375,112.33422088623047,34.42591857910156,28.774768829345703,38.882240295410156,25.88812255859375,26.837966918945312,51.636962890625,31.111846923828125,68.04143524169922,28.261550903320312,47.46440505981445,25.58121109008789
